,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
152,20025207,,jt,alphabet inc. - class c capital stock (goog) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,05/03/2024,,"$1,001 - $15,000",,st,goog
153,20025207,,jt,"amerisafe, inc. - common stock (amsf) [st]",s,05/29/2024,,"$1,001 - $15,000",,st,amsf
154,20025207,,jt,blackstone inc. common stock (bx) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,05/20/2024,,"$1,001 - $15,000",,st,bx
155,20025207,,jt,booking holdings inc. - common stock (bkng) [st],p,05/20/2024,,"$1,001 - $15,000",,st,bkng
156,20025207,,jt,coloplast as sp/adr (clpby) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,05/17/2024,,"$1,001 - $15,000",,st,clpby
157,20025207,,jt,exact sciences corporation - common stock (exas) [st],s,05/10/2024,,"$1,001 - $15,000",,st,exas
158,20025207,,jt,"grand canyon education, inc. - common stock (lope) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,05/06/2024,,"$1,001 - $15,000",,st,lope
159,20025207,,jt,haleon plc american depositary shares (hln) [st],p,05/20/2024,,"$1,001 - $15,000",,st,hln
160,20025207,,jt,insmed incorporated - common stock (insm) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,05/28/2024,,"$1,001 - $15,000",,st,insm
161,20025207,,jt,"intapp, inc. - common stock (inta) [st]",p,05/09/2024,,"$1,001 - $15,000",,st,inta
162,20025207,,jt,kkr & co. inc. common stock (kkr) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,05/10/2024,,"$1,001 - $15,000",,st,kkr
163,20025207,,jt,"lowe's companies, inc. common stock (low) [st]",s,05/01/2024,,"$1,001 - $15,000",,st,low
164,20025207,,jt,"mercadolibre, inc. - common stock (meli) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",s,05/01/2024,,"$1,001 - $15,000",,st,meli
165,20025207,,jt,"meta platforms, inc. - class a common stock (meta) [st]",s,05/23/2024,,"$1,001 - $15,000",,st,meta
166,20025207,,jt,microsoft corporation - common stock (msft) [op] f_____ s_____: new s_________ o_: morgan stanley - portfo d__________: call options; strike price $lio managementactive assets a c_______: ref: 135p8w76225; expires 06/20/2025ccount,p,05/14/2024,,"$1,000,001 - $5,000,000",,op,msft
167,20025207,,jt,microsoft corporation - common stock (msft) [op],p,05/14/2024,,"$1,000,001 - $5,000,000",,op,msft
168,20025207,,jt,microsoft corporation - common stock (msft) [op] f_____ s_____: new s_________ o_: morgan stanley - portfolio managementactive assets a d__________: call options; strike price $230; expires 12/19/2025ccount,s,05/14/2024,,"$1,000,001 - $5,000,000",,op,msft
169,20025207,,jt,microsoft corporation - common stock (msft) [op],s,05/14/2024,,"$1,000,001 - $5,000,000",,op,msft
170,20025207,,jt,monster beverage corporation - common stock (mnst) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,05/20/2024,,"$1,001 - $15,000",,st,mnst
171,20025207,,jt,nintendo co ltd adr (ntdoy) [st],p,05/22/2024,,"$1,001 - $15,000",,st,ntdoy
172,20025207,,jt,"rapid7, inc. - common stock (rpd) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",s,05/15/2024,,"$1,001 - $15,000",,st,rpd
173,20025207,,jt,"salesforce, inc. common stock (crm) [st]",s,05/30/2024,,"$1,001 - $15,000",,st,crm
174,20025207,,jt,"springworks therapeutics, inc. - common stock (swtx) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,05/09/2024,,"$1,001 - $15,000",,st,swtx
175,20025207,,jt,sysmex corp unsp/asdr (ssmxy) [st],p,05/06/2024,,"$1,001 - $15,000",,st,ssmxy
176,20025207,,jt,sysmex corp unsp/asdr (ssmxy) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,p,05/02/2024,,"$1,001 - $15,000",,st,ssmxy
